Unnamed: 0	SLL10_LV	SLL10_RAA	SLL13_LV	SLL13_RAA	SLL18_LV	SLL18_RAA	SLL18_RV	SLL20_LV
ENSG00000000003	534.0	348.0	419.0	376.0	485.0	728.0	296.0	299.0
ENSG00000000005	14.0	9.0	6.0	10.0	3.0	180.0	2.0	20.0
ENSG00000000419	2487.0	1650.0	1745.0	1390.0	2119.0	2234.0	921.0	1425.0
ENSG00000000457	252.0	155.0	246.0	142.0	332.0	347.0	247.0	424.0
ENSG00000000460	7.0	26.0	29.0	29.0	16.0	24.0	26.0	35.0
ENSG00000000938	55.0	48.0	58.0	71.0	71.0	68.0	70.0	170.0
ENSG00000000971	2613.0	7512.0	3669.0	7584.0	1445.0	16663.0	944.0	1756.0
ENSG00000001036	1247.0	817.0	940.0	747.0	1151.0	1199.0	618.0	980.0
ENSG00000001084	965.0	540.0	804.0	421.0	1047.0	940.0	862.0	948.0
ENSG00000001167	361.0	146.0	361.0	160.0	424.0	273.0	323.0	428.0
ENSG00000001460	233.0	150.0	186.0	143.0	208.0	205.0	129.0	137.0
ENSG00000001461	2124.0	390.0	1642.0	657.0	1815.0	1146.0	1280.0	1930.0
ENSG00000001497	677.0	285.0	604.0	341.0	646.0	665.0	426.0	629.0
ENSG00000001561	1262.0	1132.0	982.0	829.0	1417.0	2030.0	1595.0	1260.0
ENSG00000001617	621.0	127.0	849.0	131.0	436.0	237.0	350.0	1226.0
ENSG00000001626	14.0	11.0	37.0	3.0	9.0	55.0	29.0	13.0
ENSG00000001629	959.0	554.0	978.0	630.0	1142.0	976.0	1016.0	1208.0
ENSG00000001630	38.0	7.0	51.0	9.0	9.0	18.0	11.0	54.0
ENSG00000001631	1270.0	477.0	1163.0	613.0	1354.0	1083.0	915.0	1166.0
ENSG00000002016	141.0	107.0	164.0	92.0	207.0	146.0	133.0	206.0
ENSG00000002079	2.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0
ENSG00000002330	175.0	774.0	286.0	249.0	134.0	655.0	57.0	364.0
ENSG00000002549	3363.0	1113.0	3330.0	1507.0	3399.0	2069.0	2178.0	3908.0
ENSG00000002586	7921.0	4735.0	6119.0	6003.0	5174.0	8299.0	3172.0	5962.0
ENSG00000002587	24.0	114.0	58.0	293.0	37.0	287.0	49.0	116.0
ENSG00000002726	37.0	16.0	2.0	0.0	18.0	40.0	22.0	0.0
ENSG00000002745	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0
ENSG00000002746	29.0	0.0	8.0	0.0	13.0	1.0	3.0	0.0
ENSG00000002822	444.0	140.0	524.0	378.0	259.0	567.0	200.0	425.0
ENSG00000002834	1413.0	196.0	1844.0	558.0	1042.0	839.0	884.0	2085.0
ENSG00000002919	616.0	336.0	588.0	187.0	680.0	488.0	323.0	770.0
ENSG00000002933	719.0	1570.0	375.0	690.0	585.0	3254.0	444.0	268.0
ENSG00000003056	2661.0	564.0	2126.0	1179.0	2781.0	1493.0	1565.0	2819.0
ENSG00000003096	634.0	154.0	654.0	266.0	780.0	284.0	520.0	418.0
ENSG00000003137	49.0	112.0	89.0	136.0	57.0	258.0	90.0	70.0
ENSG00000003147	1945.0	824.0	1567.0	1100.0	1832.0	1897.0	1104.0	1886.0
ENSG00000003249	270.0	29.0	172.0	44.0	175.0	74.0	140.0	135.0
ENSG00000003393	2634.0	664.0	2204.0	684.0	2947.0	1434.0	2014.0	2867.0
ENSG00000003400	335.0	68.0	259.0	157.0	291.0	198.0	255.0	521.0
ENSG00000003402	8387.0	3656.0	6702.0	2712.0	8965.0	6137.0	6245.0	6846.0
ENSG00000003436	751.0	546.0	877.0	2028.0	617.0	1513.0	736.0	871.0
ENSG00000003509	1499.0	357.0	1094.0	442.0	1471.0	796.0	770.0	1186.0
ENSG00000003756	1388.0	1092.0	1112.0	676.0	1455.0	1557.0	749.0	1264.0
ENSG00000003987	15.0	24.0	34.0	37.0	13.0	98.0	21.0	24.0
ENSG00000003989	1569.0	624.0	1852.0	576.0	1308.0	1518.0	1285.0	1142.0
ENSG00000004059	2202.0	1496.0	1821.0	947.0	1607.0	1963.0	843.0	2239.0
ENSG00000004139	62.0	10.0	67.0	23.0	39.0	52.0	28.0	138.0
ENSG00000004142	11133.0	1969.0	8183.0	2554.0	9108.0	3184.0	5139.0	9416.0
ENSG00000004468	308.0	20.0	357.0	158.0	211.0	284.0	307.0	180.0
ENSG00000004478	2404.0	548.0	1847.0	750.0	2316.0	1269.0	1321.0	2321.0
ENSG00000004487	2403.0	607.0	1819.0	808.0	1833.0	1441.0	1254.0	1769.0
ENSG00000004534	2314.0	705.0	1495.0	791.0	2068.0	1507.0	1146.0	1573.0
ENSG00000004660	263.0	125.0	221.0	184.0	145.0	205.0	103.0	278.0
ENSG00000004700	625.0	103.0	956.0	237.0	1477.0	353.0	784.0	1283.0
ENSG00000004766	1142.0	479.0	790.0	441.0	1071.0	780.0	778.0	911.0
ENSG00000004776	4122.0	631.0	3321.0	1650.0	2741.0	1396.0	990.0	4123.0
ENSG00000004777	47.0	23.0	82.0	13.0	70.0	51.0	55.0	103.0
ENSG00000004779	11609.0	25891.0	9339.0	7666.0	8857.0	18000.0	3876.0	7539.0
ENSG00000004799	18139.0	4274.0	14862.0	4767.0	41820.0	10199.0	29401.0	26011.0
ENSG00000004809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000004838	0.0	3.0	8.0	3.0	5.0	4.0	0.0	4.0
ENSG00000004846	4.0	8.0	1.0	4.0	0.0	0.0	1.0	0.0
ENSG00000004848	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0
ENSG00000004864	384.0	129.0	425.0	188.0	311.0	389.0	209.0	443.0
ENSG00000004866	980.0	447.0	745.0	590.0	947.0	1044.0	563.0	732.0
ENSG00000004897	2177.0	756.0	2099.0	1126.0	2234.0	1998.0	2002.0	2371.0
ENSG00000004939	1.0	0.0	0.0	10.0	11.0	17.0	16.0	2.0
ENSG00000004948	0.0	0.0	0.0	7.0	2.0	4.0	1.0	1.0
ENSG00000004961	2276.0	843.0	1915.0	1057.0	2461.0	1286.0	1509.0	2011.0
ENSG00000004975	682.0	290.0	579.0	234.0	636.0	472.0	432.0	597.0
ENSG00000005001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000005007	2688.0	604.0	2926.0	754.0	2163.0	1458.0	1810.0	3243.0
ENSG00000005020	107.0	235.0	200.0	292.0	199.0	553.0	200.0	215.0
ENSG00000005022	4221.0	4854.0	3454.0	2416.0	5150.0	4986.0	2250.0	6160.0
ENSG00000005059	67.0	925.0	117.0	359.0	140.0	1560.0	78.0	92.0
ENSG00000005075	2082.0	2437.0	1682.0	931.0	1602.0	2081.0	964.0	1664.0
ENSG00000005100	422.0	182.0	475.0	215.0	466.0	387.0	320.0	433.0
ENSG00000005102	978.0	180.0	493.0	289.0	597.0	486.0	456.0	1366.0
ENSG00000005108	46.0	78.0	49.0	174.0	86.0	259.0	101.0	166.0
ENSG00000005156	990.0	222.0	758.0	299.0	834.0	460.0	586.0	807.0
ENSG00000005175	1170.0	525.0	862.0	486.0	920.0	734.0	656.0	958.0
ENSG00000005187	346.0	104.0	341.0	184.0	478.0	313.0	240.0	233.0
ENSG00000005189	318.0	86.0	173.0	52.0	309.0	122.0	185.0	203.0
ENSG00000005194	2333.0	1015.0	1609.0	914.0	2210.0	1051.0	1067.0	2349.0
ENSG00000005206	334.0	133.0	409.0	83.0	279.0	229.0	198.0	381.0
ENSG00000005238	1008.0	384.0	1001.0	632.0	1003.0	753.0	659.0	1364.0
ENSG00000005243	1253.0	877.0	854.0	757.0	978.0	1316.0	472.0	1001.0
ENSG00000005249	1150.0	2003.0	1279.0	2000.0	1230.0	4932.0	1178.0	1305.0
ENSG00000005302	501.0	308.0	495.0	376.0	516.0	651.0	350.0	557.0
ENSG00000005339	1923.0	1175.0	1859.0	1154.0	1650.0	2606.0	1480.0	2007.0
ENSG00000005379	739.0	160.0	1098.0	156.0	888.0	478.0	531.0	667.0
ENSG00000005381	12.0	5.0	6.0	11.0	1.0	6.0	2.0	8.0
ENSG00000005421	8.0	0.0	0.0	0.0	4.0	9.0	1.0	0.0
ENSG00000005436	465.0	431.0	542.0	407.0	500.0	886.0	544.0	473.0
ENSG00000005448	66.0	44.0	100.0	79.0	101.0	152.0	42.0	120.0
ENSG00000005469	561.0	280.0	475.0	233.0	483.0	491.0	334.0	391.0
ENSG00000005471	519.0	173.0	398.0	270.0	457.0	345.0	327.0	250.0
ENSG00000005483	1849.0	1257.0	1654.0	1049.0	1548.0	2558.0	1490.0	1745.0
