SLL55_LV	SLL56_LV	SLL60_LV	SLL61_LV	SLL63_LV	SLL64_LV	SLL65_LV	SLL66_LV	SLL67_LV	SLL68_LV	SLL70_LV	SLL71_LV	SLL72_LV
ENSG00000000003	8.3267641566722	8.27126288633032	7.9654341908474	7.97590767881279	8.0341216224059	7.83528387309376	8.06550693819753	7.73114868978034	7.53573179165947	8.2741962734598	8.15630772811441	8.40398820494061	8.09233876120577
ENSG00000000419	9.53756005019797	9.45352623519249	9.81910753410043	9.71260439751484	9.60305569205008	9.86309049285698	9.40731675451329	9.91421506739465	9.27083116603909	9.91982827265825	9.54251484084025	9.76414584552825	9.80426212972809
ENSG00000000457	7.86497310806749	7.85336232033676	7.47600864555278	7.75351414978778	7.80327058269719	7.70533596969821	7.52218140866842	7.5728390837518	7.28374553050256	7.99118985724706	7.68244779831002	7.612091849292	7.53330587459912
ENSG00000000460	6.6842419016519	6.56403845177227	6.33918913905668	6.181850395166	6.58518768267953	6.2203937120938	6.44312897661343	6.39326510103258	6.270810238785	6.12414248301869	6.51248980166275	6.71018527901	6.35910603690522
ENSG00000000938	6.52499582272882	6.64317709095022	6.60647950787362	6.8799828209541	6.71010669002155	6.79393764827956	6.66526048174434	6.8706603386979	7.07590962724011	6.54154783301794	6.78427536280456	6.86749835254846	6.50317544972387
ENSG00000000971	10.418798261364	9.76416135127508	9.95128366344629	9.07172527298525	9.22242449027926	10.3789452281143	9.31607765231417	10.0278374850476	9.43574506002184	9.21879179881756	9.71972551029229	9.89986666393569	10.0698219690935
ENSG00000001036	9.00710390476763	9.03382472185291	8.93826294455837	8.54015228030725	8.65342358347898	8.98907702453171	9.03472333106257	8.97306436306231	8.71463716381906	8.96509467130494	8.97279792945889	9.2424221543743	9.05914733482825
ENSG00000001084	8.84511943422663	8.56010910770293	9.03370687997577	9.28196421579291	9.19193577136429	9.25256911584368	8.99719164740229	9.184979160633	8.76328122431193	9.17953055023097	8.27252948621315	8.94002424649859	8.76042734547656
ENSG00000001167	7.89949767032152	7.84457886930768	8.00471574303497	7.85482543856681	8.0926406231126	8.04119557671416	7.6402591438313	8.0744895225693	8.02382955286307	8.33665673493636	7.98407977950465	8.08233567560846	7.8790148789142
ENSG00000001460	7.12059670194185	6.84655227627558	7.14377579153876	7.2495482093527	7.0937684199712	7.29792487092362	7.6091267784147	7.4903844156769	7.31688051947671	7.21350015719033	7.40090964102878	7.1103268111566	7.18073204184578
ENSG00000001461	9.46591163720766	9.62095976119342	9.67055430125683	9.75960231765565	9.96687299005981	10.0315804665564	9.77268013222863	9.737956810543	9.76746844471741	9.54365442957412	9.69619711935339	9.97729082228332	9.77781791136812
ENSG00000001497	8.58680984898327	8.65098219870444	8.29933460954066	8.5103335867644	8.43614829842205	8.35684438008672	8.35255329917746	8.20160072985686	9.22378592383487	8.4109563032579	8.65191457126934	8.86561852894966	8.50818564576787
ENSG00000001561	9.40646759063974	9.60856171960475	9.85850058021297	9.5715950653907	9.71581332315379	9.41847526565283	9.37268679426049	9.57489871134955	8.56617953980909	9.80551530035967	9.78648857819943	9.83361056970221	9.71042437304369
ENSG00000001617	8.16179165293116	8.13633684383748	8.31483758431136	8.14317214980628	7.90884666494725	8.26100051190123	8.11654591729169	7.96080930865925	8.42836742079254	7.50984126641856	8.16135279709419	7.73110252896663	8.29447955840001
ENSG00000001626	6.44857238537063	6.76142434107179	6.53875976573193	6.2326522290023	6.39157120043437	5.58943352179768	6.37643206216375	5.58943352179768	6.07345688385704	5.91804112500238	6.23199884894321	6.27252297611316	6.24944814226741
ENSG00000001629	8.98977910763862	8.85534476297914	9.215407060221	8.99054939555611	9.27033703634653	9.44790929431303	8.99719164740229	9.11492407695802	8.6078798156354	9.54527684572694	9.08632148697017	9.12969906322189	9.06648659302282
ENSG00000001631	8.80154587058259	8.91332168091518	9.20317089169171	9.07778137621382	9.29920966670349	9.36185409057317	8.81909581577395	9.08883451857044	8.93613699797501	9.3658374757199	9.01712303433479	9.00726065637851	9.13507840371135
ENSG00000002016	7.2270249071596	7.01563381381925	7.19993348671617	7.08003122624768	7.6158538136506	7.31670701573651	7.0792898899462	7.02181785297157	7.95951602980325	7.28402500618682	7.57722965411724	7.60246407558513	7.22219984742729
ENSG00000002330	7.66207185303646	7.63475129738468	7.16280079152626	7.2416358171937	6.93293048090658	6.97218779849094	7.52218140866842	7.43223327682561	6.78515821199778	6.96011448317905	7.29738897990934	6.37581454285859	7.12512987176653
ENSG00000002549	10.3775299379146	10.5829887161594	10.3141652038445	10.374319685277	10.1516847331372	10.5590506682618	10.5202341619684	10.4140330974807	10.3578848035523	10.4269174820533	10.5175066768455	10.7013895284453	10.6497562682391
ENSG00000002586	11.2723377546438	11.5177274455001	10.5928540676033	10.5726258838198	10.7974062476452	10.9325244512021	11.0701512387405	11.1160807397043	11.1417682358695	11.0502986884256	11.1294799724041	11.2643284286781	11.107581129474
ENSG00000002587	6.79857119305456	6.22171423872831	6.12253876122984	6.2565168332282	6.39157120043437	6.5757200454266	5.8293989084242	5.89661791060453	6.16108051690289	6.71703981244042	6.34728341522047	6.49386756247233	6.35910603690522
ENSG00000002822	7.84292942804951	8.12922741139518	7.62651637750325	7.96697379400758	7.6955052733345	7.56088786797248	8.29096089666342	7.84378386806473	8.1090059190707	7.73133284639024	7.96091812778295	7.7134911507351	7.89275145127746
ENSG00000002834	9.88375094155139	9.808161411423	9.4299187228586	9.39595382973605	9.44536699344139	9.72912012085431	9.37851709542772	9.0562823816651	9.61826642963725	9.04791311215366	9.65668444700202	9.81802690705245	9.60097927097801
ENSG00000002919	8.32986976166985	8.03324493031295	8.07999904134913	8.26718330706533	8.33526525250725	8.34416053489073	8.20653161581761	8.35785623801764	8.04871819848685	8.2979521578615	8.22529671640426	8.04833082247438	8.15562180229809
ENSG00000002933	8.31427131826421	8.95726382233512	7.35389127141342	7.60290446627235	7.90884666494725	8.28337643100105	8.04302984957956	8.33301448223751	7.35968636416994	7.76675608130109	8.07293229198362	7.97035729562183	7.41024218622721
ENSG00000003056	9.38168552909497	9.51863164818467	9.71418267968276	9.96205457905921	9.92914310208218	10.2985766811458	9.85216265197298	9.88266903011026	10.0169614019849	9.75599223767795	9.63915914962656	9.66741037645039	9.59492744487302
ENSG00000003096	7.99404708884446	8.15744501521462	7.98521867410198	8.08284575810996	8.37396335640274	8.5232101651175	8.15881698322952	8.46215422855581	7.84253388636339	8.92806328935591	7.96674617673308	8.68230043159482	7.87209290620282
ENSG00000003137	6.83040483034025	7.87075622820211	7.08471439938599	6.42155361149117	6.69327613837821	6.79393764827956	6.26281166697556	7.02181785297157	7.37015554697195	6.36403061875916	7.23691700678659	6.27252297611316	7.05997544758081
ENSG00000003147	9.0888841215685	9.4084143984255	9.50147525800612	9.27671922188726	9.5113013027196	9.35565217982104	9.31607765231417	9.30802053045648	9.57736769732588	9.4907409592166	9.39771329675052	9.22473838393383	9.58478386470922
ENSG00000003249	6.89121009051235	7.13102373257723	6.90977333459279	7.10711704670593	7.03467332329681	7.53773723447274	7.27380780461851	7.78491733758285	7.19056811167015	7.13843876974074	7.22653041866869	7.05068182400699	6.88569122075313
ENSG00000003393	9.57786227390498	9.84874721843911	10.0429969191167	10.2554973367434	10.2249742998955	10.3615836715318	9.70483552920991	9.92729296824077	10.0501640240932	10.1680422410448	9.71805766054444	9.90540595822103	9.83365445108577
ENSG00000003400	8.03316340175259	8.38230955336788	7.9753629238519	7.73761880466362	7.96151886628291	7.77839745970794	7.83062181190375	7.28475574437073	8.04871819848685	7.26678441546556	7.95506459764957	8.14788870222789	7.82259814206665
ENSG00000003402	11.5467815089516	11.5696384571699	11.8972851415307	11.7609839359226	11.9752557160874	11.5017873171654	11.8075354058469	11.8733098864558	12.4770348750175	11.8798130927374	11.9630870453921	12.1731112350743	11.854701537165
