	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Ensembl	hgnc	wikigene_desc
ENSG00000230746	57.284379044	-8.817136207	0.5085061611	-17.3392908113	2.3765099049023e-67	4.95871994490669e-64	ENSG00000230746	ENSG00000230746	
ENSG00000164532	52.7012914096	-7.2933540786	0.5077466616	-14.3641595897	8.685389207705361e-47	5.43676413104997e-44	ENSG00000164532	TBX20	T-box transcription factor 20
ENSG00000161905	711.7231747557	-6.6819630238	0.5307492988	-12.5896784759	2.4065159141152798e-36	8.06999327699481e-34	ENSG00000161905	ALOX15	arachidonate 15-lipoxygenase
ENSG00000054938	222.8259246818	-6.4497232002	0.4402035056	-14.6516852293	1.31415318202138e-48	9.14017874265907e-46	ENSG00000054938	CHRDL2	chordin like 2
ENSG00000137077	3208.2192843189	-6.2915545627	0.4053867607	-15.5198816843	2.54519836566208e-54	2.17255818676219e-51	ENSG00000137077	CCL21	C-C motif chemokine ligand 21
ENSG00000114638	167.7064284206	-6.0961881109	0.6168192961	-9.8832642714	4.9203450463470605e-23	4.19996180115234e-21	ENSG00000114638	UPK1B	uroplakin 1B
ENSG00000132872	186.9901629287	-5.9208383845	0.5952642294	-9.946571777900001	2.6102045144741102e-23	2.3341443132052e-21	ENSG00000132872	SYT4	synaptotagmin 4
ENSG00000265190	596.8053345329	-5.9073906494	0.520001151	-11.3603414885	6.588658494566319e-30	1.37476019854957e-27	ENSG00000265190	ANXA8	annexin A8
ENSG00000167757	146.7102851891	-5.868366464	0.6448936419	-9.0997430933	9.054575415790281e-20	5.38088201687106e-18	ENSG00000167757	KLK11	kallikrein related peptidase 11
ENSG00000118526	223.1639886734	-5.7742116808	0.2468837201	-23.3883857502	5.61056551123058e-121	5.268040486769951e-117	ENSG00000118526	TCF21	transcription factor 21
ENSG00000211659	223.7688414318	-5.7262009029000005	0.6027925	-9.4994561194	2.10989377010841e-21	1.4895374101077402e-19	ENSG00000211659	IGLV3-25	
ENSG00000136574	360.7529253399	-5.6949077399	0.3319780438	-17.1544710442	5.81975267467252e-66	9.935375952515941e-63	ENSG00000136574	GATA4	GATA binding protein 4
ENSG00000071991	1171.9505974162	-5.6215370977	0.22978088530000002	-24.4647725656	3.50431301424475e-132	6.58074940945022e-128	ENSG00000071991	CDH19	cadherin 19
ENSG00000205038	993.95798588	-5.4771211354	0.4898996625	-11.1800875873	5.10395886814182e-29	9.39678858674855e-27	ENSG00000205038	PKHD1L1	PKHD1 like 1
ENSG00000143375	344.0031522229	-5.4125799324	0.5452355989000001	-9.927047947	3.1751664325584603e-23	2.7604838165284902e-21	ENSG00000143375	CGN	cingulin
ENSG00000244437	426.0672493532	-5.4077707162	0.4896268835	-11.0446768732	2.32602987983904e-28	3.80534733089762e-26	ENSG00000244437	IGKV3-15	
ENSG00000179914	15621.7833269433	-5.4019248441	0.5729080835	-9.4289555343	4.14192692828138e-21	2.8596046244925e-19	ENSG00000179914	ITLN1	intelectin 1
