SLL54_LV	SLL55_LV	SLL56_LV	SLL60_LV	SLL61_LV	SLL63_LV	SLL64_LV	SLL65_LV	SLL66_LV	SLL67_LV	SLL68_LV	SLL69_LV	SLL70_LV	SLL71_LV	SLL72_LV
ENSG00000000003	8.33173811652353	8.40227050214472	8.35457852506813	8.1277328356233	8.13524895545952	8.1763926416409	8.03391718430052	8.19749077092933	7.96439335121379	7.87403786539355	8.33048647744892	6.67099742030566	8.28021774705942	8.46263188056743	8.22681421391347
ENSG00000000419	9.31627495805696	9.34594322731838	9.26622982361787	9.55391191820766	9.4646197350661	9.37451222246045	9.58263550165348	9.21236075803456	9.62676492049415	9.16259657168031	9.61902080405562	8.66903442330822	9.35081023468689	9.54154217453391	9.55846023305927
ENSG00000000457	8.06567786768324	8.07598672040445	8.06161780510936	7.80069190211341	7.98402851201651	8.01829836925589	7.94686409581027	7.8310922359217	7.85982174960703	7.70734704949496	8.13298971134362	6.67099742030566	7.95238615300877	7.90778244106735	7.84666246688747
ENSG00000000460	7.18312804105279	7.31604879104204	7.24062157929996	7.10349418138056	7.01185582054629	7.24912010238578	7.03277566510083	7.16468913588699	7.13354447621645	7.07569134104635	6.97550329245338	6.67099742030566	7.21264232306071	7.33344753804906	7.11860959428307
ENSG00000000938	7.49117569060653	7.21995102096093	7.28814632250061	7.26131146975578	7.42629854313445	7.32386850439064	7.37118991652417	7.29662109889521	7.41781249779188	7.57315344443796	7.21769584610134	6.67099742030566	7.37727546694339	7.43001451829947	7.20407302769671
ENSG00000000971	10.5712266212264	10.1057410045519	9.52525334751099	9.6665020053371	8.94350376593032	9.06420014189734	10.0298668952539	9.13837382271498	9.72411713376898	9.29826807202459	9.04156338471366	9.77846392262939	9.49924744940023	9.65736550659628	9.78635939406128
ENSG00000001036	8.60687994173283	8.91698697938582	8.92868945882973	8.83894525337554	8.53807619005334	8.6234282371961	8.87118648420474	8.91465814036156	8.85928233061831	8.72155726513789	8.84274143642566	6.67099742030566	8.89072684696301	9.10937851145086	8.94796787521499
ENSG00000001084	8.78839197917002	8.79074479928231	8.56597915411677	8.91325620296777	9.11069373904754	9.03986623959183	9.0789732001732	8.88533239924051	9.02565392378437	8.75908149444111	9.0104263321014	6.67099742030566	8.36353872529301	8.86907790110456	8.71632352510468
ENSG00000001167	8.10013310824962	8.09975344431878	8.05561918734553	8.1548355774906	8.05240639249706	8.21718850764955	8.17474234423754	7.90868994966001	8.1982522763181	8.21077324090949	8.37502844401092	6.67099742030566	8.15888924356896	8.23085749756154	8.0787168365994
ENSG00000001460	7.61709989672425	7.58607323321682	7.41166147687969	7.58903615119204	7.65580129515201	7.55856220148315	7.68249147159074	7.88812549479012	7.80612958460006	7.72900802371467	7.62429101244804	8.66903442330822	7.76613879767233	7.58179939701143	7.61931895088944
ENSG00000001461	9.19361979898844	9.28665915269347	9.40491302855754	9.42892864182578	9.50413420748987	9.68178760341092	9.72669234800688	9.51537411881147	9.4776217864975	9.5775180468985	9.30422544624163	6.67099742030566	9.4794014599153	9.72402665496197	9.53604485013324
ENSG00000001497	8.52708540595385	8.59419035939538	8.63401950495248	8.36237125167818	8.5160809301637	8.46270945345463	8.39774792306946	8.40117344097876	8.28739074704754	9.12429313540868	8.42846840438403	9.33362947526222	8.64378724432874	8.8111537416039	8.52685920658703
