Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of humoral immune response (GO:0002920)	48/113	1.0612942879653228E-29	1.5540382514980517E-26	0	0	12.444468995995027	830.2387038354177	IGHV2-5;C1R;IGHV3-23;CFI;IGHV1-2;IGHV4-59;IGHV4-39;IGLV3-1;C4BPB;C2;C4B;IGHG3;C3;IGLV2-11;C4A;IGHG4;VTN;IGLV3-25;IGHG1;IGHG2;IGLV1-40;C6;IGKV1-16;C7;IGLV6-57;IGLV1-47;IGKC;IGKV1-17;IGLV2-14;IGLV3-21;CD19;IGLV1-44;IGKV1-12;IGKV3-15;SUSD4;CCR7;IGHV3-7;IGKV3-11;IGHV3-30;CR1;IGHV3-33;IGKV1-5;IGLV2-23;IGKV4-1;CFB;IGKV3-20;IGKV2-30;IGLV3-19
regulation of protein activation cascade (GO:2000257)	47/108	1.1002040718570278E-29	1.5540382514980517E-26	0	0	12.975358376828641	865.1900457640326	IGHV2-5;C1R;IGHV3-23;CFI;IGHV1-2;IGHV4-59;IGHV4-39;IGLV3-1;C4BPB;C2;C4B;IGHG3;C3;IGLV2-11;C4A;IGHG4;VTN;IGLV3-25;IGHG1;IGHG2;IGLV1-40;C6;IGKV1-16;C7;IGLV6-57;IGLV1-47;IGKC;IGKV1-17;IGLV2-14;IGLV3-21;CD19;IGLV1-44;IGKV1-12;IGKV3-15;SUSD4;IGHV3-7;IGKV3-11;IGHV3-30;CR1;IGHV3-33;IGKV1-5;IGLV2-23;IGKV4-1;CFB;IGKV3-20;IGKV2-30;IGLV3-19
regulation of complement activation (GO:0030449)	47/109	1.8283110136149745E-29	1.7216595378207676E-26	0	0	12.765398524519021	844.7065271406178	IGHV2-5;C1R;IGHV3-23;CFI;IGHV1-2;IGHV4-59;IGHV4-39;IGLV3-1;C4BPB;C2;C4B;IGHG3;C3;IGLV2-11;C4A;IGHG4;VTN;IGLV3-25;IGHG1;IGHG2;IGLV1-40;C6;IGKV1-16;C7;IGLV6-57;IGLV1-47;IGKC;IGKV1-17;IGLV2-14;IGLV3-21;CD19;IGLV1-44;IGKV1-12;IGKV3-15;SUSD4;IGHV3-7;IGKV3-11;IGHV3-30;CR1;IGHV3-33;IGKV1-5;IGLV2-23;IGKV4-1;CFB;IGKV3-20;IGKV2-30;IGLV3-19
regulation of protein processing (GO:0070613)	50/128	8.195450228166478E-29	5.595720735542419E-26	0	0	10.814425382770706	699.3839058391844	SERPINE2;IGHV3-23;IGHV1-2;IGHV4-39;C4BPB;C4B;IGHG3;C4A;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV1-17;IGKV1-12;CHAC1;IGHV3-7;IGHV3-30;CR1;IGHV3-33;IGKV4-1;CFB;IGKV2-30;IGLV3-19;IGHV2-5;C1R;CFI;IGHV4-59;IGLV3-1;C2;NKD2;C3;IGLV2-11;VTN;IGLV3-25;IGLV1-40;C6;C7;IGLV6-57;IGLV1-47;IGKC;IGLV2-14;IGLV3-21;CD19;IGLV1-44;IGKV3-15;SUSD4;IGKV3-11;IGKV1-5;IGLV2-23;IGKV3-20
complement activation, classical pathway (GO:0006958)	49/123	9.903930505384812E-29	5.595720735542419E-26	0	0	11.16335203127656	719.8356675361379	IGHM;IGHV3-21;IGHV1-3;IGHV3-23;IGHV1-2;IGHV4-39;IGHG3;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV1-17;TRBC2;TRBC1;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV5-51;IGHV3-30;IGHV3-74;IGHV3-33;IGHV1-18;IGKV4-1;IGHD;IGKV2-30;IGLV3-19;IGHV6-1;IGHV2-5;C1R;IGHV4-59;IGLV3-1;IGLV2-11;IGLV3-25;IGLV1-40;IGLV6-57;IGLV1-47;IGKC;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGKV3-11;IGHA1;IGHA2;IGKV1-5;IGHV3-15;IGLV2-23;IGKV3-20
regulation of immune effector process (GO:0002697)	47/114	2.097069756801262E-28	9.711473825624847E-26	0	0	11.809611137139415	752.6482662012103	IGHV2-5;C1R;IGHV3-23;CFI;IGHV1-2;IGHV4-59;IGHV4-39;IGLV3-1;C4BPB;C2;C4B;IGHG3;C3;IGLV2-11;C4A;IGHG4;VTN;IGLV3-25;IGHG1;IGHG2;IGLV1-40;C6;IGKV1-16;C7;IGLV6-57;IGLV1-47;IGKC;IGKV1-17;IGLV2-14;IGLV3-21;CD19;IGLV1-44;IGKV1-12;IGKV3-15;SUSD4;IGHV3-7;IGKV3-11;IGHV3-30;CR1;IGHV3-33;IGKV1-5;IGLV2-23;IGKV4-1;CFB;IGKV3-20;IGKV2-30;IGLV3-19
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	49/125	2.406382894845095E-28	9.711473825624847E-26	0	0	10.868421052631579	691.1691709225198	IGHM;IGHV3-21;IGHV1-3;IGHV3-23;IGHV1-2;IGHV4-39;IGHG3;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV1-17;TRBC2;TRBC1;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV5-51;IGHV3-30;IGHV3-74;IGHV3-33;IGHV1-18;IGKV4-1;IGHD;IGKV2-30;IGLV3-19;IGHV6-1;IGHV2-5;C1R;IGHV4-59;IGLV3-1;IGLV2-11;IGLV3-25;IGLV1-40;IGLV6-57;IGLV1-47;IGKC;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGKV3-11;IGHA1;IGHA2;IGKV1-5;IGHV3-15;IGLV2-23;IGKV3-20
regulation of acute inflammatory response (GO:0002673)	47/121	4.96015906409255E-27	1.7515561695076815E-24	0	0	10.688498363834686	647.3848135668877	IGHV2-5;C1R;IGHV3-23;CFI;IGHV1-2;IGHV4-59;IGHV4-39;IGLV3-1;C4BPB;C2;C4B;IGHG3;C3;IGLV2-11;C4A;IGHG4;VTN;IGLV3-25;IGHG1;IGHG2;IGLV1-40;C6;IGKV1-16;C7;IGLV1-47;IGLV6-57;IGKC;IGKV1-17;IGLV2-14;IGLV3-21;CD19;IGLV1-44;IGKV1-12;IGKV3-15;SUSD4;IGHV3-7;IGKV3-11;IGHV3-30;CR1;IGHV3-33;IGKV1-5;IGLV2-23;IGKV4-1;CFB;IGKV3-20;IGKV2-30;IGLV3-19
B cell receptor signaling pathway (GO:0050853)	37/104	5.0897453033615174E-20	1.5976144979995875E-17	0	0	9.21428855721393	409.3399230761021	BLK;ITK;IGHM;IGHV6-1;IGHV2-5;IGHV3-21;IGHV1-3;IGHV3-23;IGHV1-2;IGHV4-59;IGHV4-39;IGHG3;CD79B;IGHG4;CD79A;IGHG1;IGHG2;IGKC;TRBC2;CD19;TRBC1;IGLC3;CTLA4;CD38;IGLC2;IGHV3-7;IGHA1;IGHA2;IGHV5-51;IGHV3-30;IGHV3-74;PRKCB;IGHV3-33;IGHV3-15;IGHV1-18;LCK;IGHD
regulation of immune response (GO:0050776)	57/251	2.7073057751734397E-19	7.648138814864968E-17	0	0	4.957354107384429	211.94256723713235	IGHV3-23;IGHV1-2;CD3G;IGHV4-39;ICAM5;SLA2;CD3E;CD3D;IGKV1-16;IGKV1-17;TRBC1;IGKV1-12;IGHV3-7;CD96;CXADR;IGHV3-30;IGHV3-33;SPINK5;CD8B;CD8A;IGKV4-1;CD226;IGLV3-19;CLEC4G;IGKV2-30;BIRC3;IGHV2-5;KLRB1;IGHV4-59;IGLV3-1;CD1D;NOD2;CD1C;C3;IGLV2-11;IGLV3-25;KLRK1;IGLV1-40;IGKC;IGLV6-57;IGLV1-47;IGLV3-21;IGLV2-14;CD19;NCR3LG1;IGLV1-44;IGKV3-15;SLAMF7;SLAMF6;IGKV3-11;IGKV1-5;CRTAM;RAET1E;CD40LG;SELL;IGLV2-23;IGKV3-20
