Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
T cell receptor complex (GO:0042101)	9/16	5.7737234845498624E-8	1.1547446969099726E-5	0	0	20.998513195390906	349.9898535129452	ZAP70;CD6;CD8B;TRAT1;CD8A;CD3G;CD3E;CD3D;CARD11
integral component of plasma membrane (GO:0005887)	131/1463	3.5007412547931476E-7	3.500741254793148E-5	0	0	1.6699187062911602	24.823543491919107	EPHB6;CHRM2;VIPR2;LY75;ICAM5;AQP5;CELSR1;SLC4A3;CLDN1;SLC4A4;AQP1;CYSLTR2;SIT1;VSIG2;SLCO2B1;GPR171;SLC39A8;SLC16A9;PCDHAC2;MFSD2A;PCDHAC1;CD96;SLC38A1;CXADR;CD180;SLC6A12;KCNK17;CACNB2;CD8B;CD8A;CD226;ROR2;CD1E;MST1R;CD1D;TNFRSF11A;CD1C;CD79B;CD79A;GRIN2A;KLRK1;C6;EFNB3;C7;FLRT2;FLRT3;CD19;KCNMB4;TSPAN5;SLC38A5;PAG1;XCR1;TNFSF15;LRRN4;CRTAM;IFNLR1;GRIN2C;CALHM6;PTPRD;TRPV6;SELL;FXYD2;CD28;SDC1;CD27;SLC26A7;FXYD6;MELTF;FGFR4;BMPR1B;KCNK6;GABRB2;FLT3;PTPRO;GRIK3;STAB2;CD3G;HTR2A;CD3E;ASGR1;UPK1B;MMP24;CTLA4;CD37;EMB;CCR5;CCR4;CCR2;CD53;CD52;GRID2;CR1;SLC7A7;MMP16;TLR10;CD48;RGR;MS4A1;LTK;NRXN1;ATP1A4;NRXN3;CXCR6;ABCB11;IL2RG;TSPAN32;PTPRZ1;ERBB3;CXCR3;ADAM23;PDPN;GPC5;IL12RB1;TIGIT;NTRK1;P2RY10;SEMA4D;TRAT1;CD2;SLC4A9;CD40LG;CD6;CD5;SLCO4C1;ATP13A4;ESYT3;F2RL1;KCNK1;EVI2B;RAMP1;SLC28A3
membrane raft (GO:0045121)	18/119	1.7332711209536573E-4	0.011555140806357717	0	0	2.918939970920169	25.278983186614905	CRB2;CXADR;PLLP;ITLN1;MLC1;FAIM2;SULF1;CD79A;ZAP70;LCK;PDPN;MAL;CD226;CD48;CARD11;GPM6B;PAG1;LAT
axonal growth cone (GO:0044295)	3/11	0.022710643259648288	0.7288667867559143	0	0	6.092536669542709	23.05977362907423	GPM6A;FLRT3;L1CAM
pigment granule (GO:0048770)	4/21	0.03071988701447861	0.7288667867559143	0	0	3.8242405770598396	13.31923735855808	SYTL1;RAB27B;RAB38;RAB17
melanosome (GO:0042470)	4/21	0.03071988701447861	0.7288667867559143	0	0	3.8242405770598396	13.31923735855808	SYTL1;RAB27B;RAB38;RAB17
axon (GO:0030424)	14/141	0.03500596637844946	0.7288667867559143	0	0	1.796715959285577	6.023017293299489	NTRK1;CNTNAP2;BDNF;PTPRO;GRIK3;KCNA3;LRP2;CPT1C;L1CAM;NGF;C4A;TMEM108;ROR2;SNCA
FACIT collagen trimer (GO:0005593)	2/6	0.043261703584622044	0.7288667867559143	0	0	8.118103448275862	25.4948022333328	COL9A3;COL9A2
membrane attack complex (GO:0005579)	2/6	0.043261703584622044	0.7288667867559143	0	0	8.118103448275862	25.4948022333328	C6;C7
potassium channel complex (GO:0034705)	3/14	0.044015186375599605	0.7288667867559143	0	0	4.43022982194682	13.83658486415657	GRIK5;GRIK3;KCNK1
recycling endosome membrane (GO:0055038)	6/47	0.053427184665054236	0.7288667867559143	0	0	2.379567896024981	6.97079087493401	SCAMP5;EHD3;SLC9A7;NSG1;RAB17;RAB11FIP4
bicellular tight junction (GO:0005923)	8/72	0.05677334508752027	0.7288667867559143	0	0	2.033578856152513	5.833703953172055	CLDN11;PARD6B;CXADR;CLDN15;WNK3;SHROOM2;CGN;CLDN1
AIM2 inflammasome complex (GO:0097169)	2/7	0.05827160393822451	0.7288667867559143	0	0	6.494137931034483	18.460498665632983	AIM2;CASP12
secretory vesicle (GO:0099503)	3/16	0.062160752548370106	0.7288667867559143	0	0	3.74825778190748	10.412778062175285	DOC2A;SYTL1;NKD2
exocytic vesicle (GO:0070382)	3/16	0.062160752548370106	0.7288667867559143	0	0	3.74825778190748	10.412778062175285	DOC2A;SYTL1;NKD2
clathrin-coated vesicle (GO:0030136)	10/100	0.06505575861081238	0.7288667867559143	0	0	1.8082561728395061	4.9410790730504095	CHRM2;CEMIP;SYT1;FCHO1;CTLA4;RAB27B;CD3G;LRP2;IL7R;CD3D
endoplasmic reticulum lumen (GO:0005788)	22/270	0.06912076237366545	0.7288667867559143	0	0	1.4465902659875496	3.865144712278052	COL28A1;COLGALT2;IGFBP4;COL23A1;MSLN;CP;LTBP1;SGPP2;C3;BMP4;C4A;CDH2;COL4A4;COL4A3;MZB1;CASQ2;COL9A3;QSOX1;COL9A2;TIMP1;MELTF;CASQ1
ionotropic glutamate receptor complex (GO:0008328)	5/39	0.07365823107781189	0.7288667867559143	0	0	2.390055417153897	6.234027870875783	GRIN2A;GRID2;GRIK5;GRIK3;GRIN2C
microvillus membrane (GO:0031528)	2/8	0.07476713583309906	0.7288667867559143	0	0	5.411494252873563	14.034043925094611	PDPN;SYTL1
catenin complex (GO:0016342)	4/28	0.07653101260937101	0.7288667867559143	0	0	2.7078295912492805	6.9592824253563705	CDH4;CDH3;CDH2;CDH19
brush border membrane (GO:0031526)	4/28	0.07653101260937101	0.7288667867559143	0	0	2.7078295912492805	6.9592824253563705	ITLN1;LRP2;PLB1;AQP1
