Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
serine-type endopeptidase activity (GO:0004252)	47/196	3.938803338751545E-17	1.273728550964315E-14	0	0	5.287164053330123	199.71241590444598	PCSK2;COLEC11;IGHV2-5;C1R;IGHV3-23;CFI;IGHV1-2;IGHV4-59;IGHV4-39;IGLV3-1;C2;C4B;C3;IGHG3;IGLV2-11;C4A;IGLV3-25;IGHG4;IGHG1;IGHG2;IGLV1-40;IGKV1-16;IGKC;IGLV6-57;IGLV1-47;IGKV1-17;IGLV3-21;IGLV2-14;IGLV1-44;IGKV1-12;IGKV3-15;IGHV3-7;IGKV3-11;IGHV3-30;IGHV3-33;IGKV1-5;TMPRSS13;GZMM;IGLV2-23;IGKV4-1;TLL1;MASP1;KLKB1;CFB;IGLV3-19;IGKV3-20;IGKV2-30
serine-type peptidase activity (GO:0008236)	50/220	4.2457618365477167E-17	1.273728550964315E-14	0	0	4.937579348286077	186.1369912440043	PCSK2;IGHV3-23;IGHV1-2;IGHV4-39;C4B;IGHG3;C4A;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV1-17;IGKV1-12;IGHV3-7;IGHV3-30;IGHV3-33;PRSS16;IGKV4-1;MASP1;CFB;IGLV3-19;IGKV2-30;COLEC11;IGHV2-5;C1R;CFI;IGHV4-59;IGLV3-1;C2;C3;IGLV2-11;IGLV3-25;IGLV1-40;IGKC;IGLV6-57;IGLV1-47;IGLV3-21;IGLV2-14;IGLV1-44;IGKV3-15;IGKV3-11;IGKV1-5;TMPRSS13;KLK11;GZMK;GZMM;IGLV2-23;TLL1;KLKB1;IGKV3-20
immunoglobulin receptor binding (GO:0034987)	29/81	4.504267195320018E-16	9.008534390640036E-14	0	0	9.24696177608799	326.7537508402669	IGHM;IGHV2-5;IGHV6-1;IGHV3-21;IGHV1-3;IGHV3-23;IGHV1-2;IGHV4-59;IGHV4-39;JCHAIN;IGHG3;IGHG4;IGHG1;IGHG2;IGKC;TRBC2;TRBC1;IGLC3;IGLC2;IGHV3-7;IGHA1;IGHA2;IGHV5-51;IGHV3-30;IGHV3-74;IGHV3-33;IGHV3-15;IGHV1-18;IGHD
endopeptidase activity (GO:0004175)	52/354	6.354773621834212E-10	9.532160432751318E-8	0	0	2.875341566732295	60.89008660028321	PCSK2;IGHV3-23;IGHV1-2;IGHV4-39;C4B;IGHG3;C4A;IGHG4;IGHG1;CASP12;MMP24;IGHG2;IGKV1-16;IGKV1-17;IGKV1-12;IGHV3-7;IGHV3-30;IGHV3-33;KEL;MMP16;IGKV4-1;MASP1;CFB;IGLV3-19;IGKV2-30;COLEC11;IGHV2-5;C1R;CFI;IGHV4-59;IGLV3-1;C2;C3;IGLV2-11;IGLV3-25;ADAMTS14;IGLV1-40;IGKC;IGLV6-57;IGLV1-47;IGLV3-21;IGLV2-14;IGLV1-44;IGKV3-15;IGKV3-11;IGKV1-5;TMPRSS13;GZMM;IGLV2-23;TLL1;KLKB1;IGKV3-20
sodium channel activity (GO:0005272)	10/40	7.205707862562381E-5	0.008646849435074858	0	0	5.44212962962963	51.90731536727056	CACNA1I;CATSPER2;GRIK5;GRIK3;SHROOM2;SCN7A;SCN3B;KCNK1;NALCN;SCN3A
T cell receptor binding (GO:0042608)	4/6	1.5470475296766337E-4	0.015470475296766338	0	0	32.53195164075993	285.4350859481187	LCK;EPS8L1;CD3G;CD3E
CCR chemokine receptor binding (GO:0048020)	9/38	2.5767140551106056E-4	0.022086120472376618	0	0	5.062685049496067	41.83714533884796	CCL13;CCL11;CCL21;CCL5;XCL2;XCL1;CCL19;CCR2;CCL26
3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	6/20	7.266709262558483E-4	0.054500319469188624	0	0	6.978744438952051	50.43564308080961	PDE1C;PDE1A;PDE4D;PDE4B;PDE6B;PDE7A
cytokine receptor activity (GO:0004896)	12/73	9.566239880469354E-4	0.058062646730927356	0	0	3.212031361368496	22.330363711331444	FLT3;CXCR3;IL2RA;IL21R;IFNLR1;CCR5;IL2RG;IL12RB1;IL7R;CCR4;PRLR;CCR2
chemokine receptor activity (GO:0004950)	6/21	9.677107788487893E-4	0.058062646730927356	0	0	6.513148788927336	45.20501261975328	CXCR3;CXCR4;CCR7;CCR5;CCR4;CCR2
chemokine activity (GO:0008009)	9/46	0.0011464575050172726	0.06253404572821487	0	0	3.9663627200487563	26.856553421480747	CCL13;CCL11;CCL21;CCL5;XCL2;XCL1;CXCL1;CCL19;CCL26
