Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell adhesion molecules (CAMs) Homo sapiens hsa04514	30/142	5.511192940673736E-10	1.3061527269396755E-7	0	0	4.4310007571933365	94.46481453966925	CNTNAP2;NRXN1;NRXN3;NRXN2;CLDN1;CDH4;CDH3;CDH2;CTLA4;ITGB8;NCAM2;LRRC4C;TIGIT;HLA-DOB;NTNG1;L1CAM;CLDN11;CD2;NFASC;CD40LG;CD8B;SELL;CLDN15;CD6;CD8A;CD28;SDC1;CD226;PDCD1;CD22
Primary immunodeficiency Homo sapiens hsa05340	13/37	7.73328592108641E-8	8.998775762101819E-6	0	0	8.869379170293008	145.23738669107462	TNFRSF13C;IL2RG;CD3E;CD3D;CD79A;ZAP70;CD40LG;CD8B;LCK;CD8A;CD19;IL7R;JAK3
Hematopoietic cell lineage Homo sapiens hsa04640	20/88	1.1390855395065592E-7	8.998775762101819E-6	0	0	4.834140311115689	77.28760622154441	CR1;FLT3;CD3G;CD1E;CD1D;CD3E;CD1C;CD3D;CD2;CD8B;CD8A;IL7;CD5;CD19;IL2RA;CD38;CD37;IL7R;MS4A1;CD22
Cytokine-cytokine receptor interaction Homo sapiens hsa04060	37/265	6.72346762200609E-7	3.983654566038608E-5	0	0	2.6844834307992205	38.15319824905204	CCL13;CCL11;FLT3;IL24;CXCR4;CXCL1;TNFRSF13C;CXCR6;TNFRSF11A;IL2RG;CXCR3;CCL5;IL21R;CCR7;CCL19;CCR5;IL12RB1;CCR4;CCR2;XCR1;TNFSF14;CCL21;TNFSF15;TNFRSF19;IL18;IFNLR1;PRLR;CD40LG;IL7;IL2RA;XCL2;CD27;XCL1;LTB;IL7R;BMPR1B;CCL26
Complement and coagulation cascades Homo sapiens hsa04610	16/79	1.0201177729786391E-5	4.835358243918749E-4	0	0	4.160780077010443	47.81987613427976	CR1;C1R;CFI;C4BPB;TFPI;SERPINA5;C2;C4B;C3;C4A;VTN;C6;C7;MASP1;KLKB1;CFB
Chemokine signaling pathway Homo sapiens hsa04062	24/187	2.222913474431582E-4	0.00878050822400475	0	0	2.416250660398719	20.32434476746604	SHC4;ITK;CCL13;SHC3;XCR1;CCL11;CCL21;PRKCB;CXCR4;CXCL1;CXCR6;PRKCZ;GNGT2;CXCR3;CCL5;XCL2;XCL1;CCR7;CCL19;CCR5;CCR4;JAK3;CCR2;CCL26
NF-kappa B signaling pathway Homo sapiens hsa04064	15/93	2.888963142314942E-4	0.00949462570729273	0	0	3.1453289517805647	25.632678091960507	CCL13;CCL21;TNFSF14;PRKCB;TNFRSF13C;TNFRSF11A;ZAP70;CD40LG;LCK;PRKCQ;LTB;CCL19;CARD11;LAT;BIRC3
T cell receptor signaling pathway Homo sapiens hsa04660	16/104	3.20493694760936E-4	0.00949462570729273	0	0	2.974773917182294	23.933983683156452	ITK;CD3G;CD3E;RASGRP1;CD3D;ZAP70;CD40LG;CD8B;CD8A;LCK;CD28;CTLA4;PRKCQ;PDCD1;CARD11;LAT
ECM-receptor interaction Homo sapiens hsa04512	12/82	0.0026708676093938947	0.07033284704737255	0	0	2.7977142857142856	16.577441692129923	VTN;RELN;LAMC3;SV2A;COL4A4;COL4A3;CHAD;ITGB8;SDC1;COL6A6;COL9A3;COL9A2
Staphylococcus aureus infection Homo sapiens hsa05150	9/56	0.00469123593739239	0.11118229171619963	0	0	3.120794965953756	16.733887374560624	C4B;C3;C4A;C1R;CFI;MASP1;HLA-DOB;CFB;C2
Proximal tubule bicarbonate reclamation Homo sapiens hsa04964	5/23	0.009182871508353556	0.19784914067998116	0	0	4.518390473446654	21.19312791099063	FXYD2;ATP1A4;ATP1B2;SLC4A4;AQP1
Protein digestion and absorption Homo sapiens hsa04974	11/90	0.01504507017335587	0.2971401359237784	0	0	2.2693420140989122	9.523758760965237	SLC7A7;COL4A4;FXYD2;COL4A3;ATP1A4;COL6A6;SLC16A10;COL9A3;ATP1B2;COL9A2;KCNN4
Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412	9/74	0.027178851403227375	0.49549136788960674	0	0	2.2544132363733405	8.127872404888967	DSP;CACNB2;CDH2;SGCA;ACTN2;LEF1;TCF7;CACNA2D3;ITGB8
Focal adhesion Homo sapiens hsa04510	18/202	0.04723566739722236	0.6983618294943066	0	0	1.595146701124962	4.869354401208682	SHC4;SHC3;ACTN2;PRKCB;LAMC3;RASGRF1;PGF;VTN;RELN;PARVG;COL4A4;COL4A3;CHAD;ITGB8;COL9A3;COL6A6;COL9A2;BIRC3
African trypanosomiasis Homo sapiens hsa05143	5/35	0.0500799778641256	0.6983618294943066	0	0	2.70930567559781	8.112024223988199	PRKCB;IL18;F2RL1;HPR;IDO1
Prion diseases Homo sapiens hsa05020	5/35	0.0500799778641256	0.6983618294943066	0	0	2.70930567559781	8.112024223988199	C6;CASP12;C7;CCL5;NCAM2
Pancreatic secretion Homo sapiens hsa04972	10/96	0.051947235715517716	0.6983618294943066	0	0	1.892764857881137	5.597902742808277	PRKCB;FXYD2;PLA2G2A;ATP2A3;ATP1A4;CD38;RAB27B;ATP1B2;PLA2G5;SLC4A4
Bile secretion Homo sapiens hsa04976	8/71	0.05304013894893468	0.6983618294943066	0	0	2.065967923853539	6.067141045277208	ABCB1;FXYD2;AQP9;ATP1A4;ATP1B2;ABCB11;SLC4A4;AQP1
Malaria Homo sapiens hsa05144	6/49	0.06320388088455663	0.7793966528037579	0	0	2.2686489096322524	6.264623444567335	CR1;KLRK1;CD40LG;KLRB1;IL18;SDC1
Axon guidance Homo sapiens hsa04360	12/127	0.06577186943491628	0.7793966528037579	0	0	1.6988733459357277	4.623590921953217	EPHB6;NTNG1;SEMA5B;EFNB3;UNC5A;SEMA4D;SEMA3D;CXCR4;UNC5C;LRRC4C;L1CAM;NTN1
Aldosterone-regulated sodium reabsorption Homo sapiens hsa04960	5/39	0.07365823107781189	0.8046969558856193	0	0	2.390055417153897	6.234027870875783	HSD11B2;PRKCB;FXYD2;ATP1A4;ATP1B2
Rheumatoid arthritis Homo sapiens hsa05323	9/90	0.07744971193521731	0.8046969558856193	0	0	1.807555170087694	4.623954656979006	CCL5;IL18;CD28;CTLA4;CXCL1;LTB;TNFRSF11A;HLA-DOB;ATP6V1B1
Morphine addiction Homo sapiens hsa05032	9/91	0.08175755832801397	0.8046969558856193	0	0	1.785416622596408	4.470677896845859	GNAO1;GABRB2;GNGT2;PDE1C;PRKCB;PDE4D;PDE1A;PDE4B;PDE7A
Inflammatory bowel disease (IBD) Homo sapiens hsa05321	7/65	0.08220505173759957	0.8046969558856193	0	0	1.9623824451410659	4.903088134369172	RORC;IL18;IL21R;NOD2;IL2RG;IL12RB1;HLA-DOB
Linoleic acid metabolism Homo sapiens hsa00591	4/29	0.08488364513561385	0.8046969558856193	0	0	2.599378238341969	6.411298427793529	ALOX15;PLA2G2A;PLA2G5;PLB1
Systemic lupus erythematosus Homo sapiens hsa05322	12/135	0.09380572374437995	0.8550752510545403	0	0	1.5876988335100741	3.7573359743610673	C4B;C3;C4A;GRIN2A;C6;CD40LG;C7;ACTN2;C1R;CD28;HLA-DOB;C2
