Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
skeletal system development (GO:0001501)	19/146	1.008704329203191E-9	2.1202964999851077E-6	0	0	6.631862797972171	137.37637962377812	PTGER4;GDF10;POSTN;HHIP;SHOX2;EN1;BMP7;TBX4;BMP6;PTHLH;TBX3;BMP5;COMP;KIAA1217;ADAMTS4;WNT11;ALX4;HOXD3;MATN3
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	47/848	2.0229761606201522E-8	2.12614794481178E-5	0	0	2.68223866508328	47.51883783866188	NOTCH3;CSRNP1;CSF3;NOTCH4;SERPINE1;TWIST1;SIX1;RORB;HOXA10;MYC;NAMPT;HOXC4;HOXA1;ALX1;HOXA7;PITX2;CCNL1;JUNB;WNT2;HOXA5;EGR1;OSR2;JUN;CDKN2B;JUND;MACC1;OSM;FOS;KLF14;KLF4;TBX5;GRHL1;BMP6;FOSL2;BMP5;NR4A1;KLF6;IL6;RGCC;NR4A3;LMX1A;IRF1;MAFF;HOXD3;HOXB7;ATF3;HOXD8
regulation of transcription from RNA polymerase II promoter (GO:0006357)	67/1478	5.22543122918127E-8	3.661285481246343E-5	0	0	2.2076432426538735	37.015870864487006	CSRNP1;CDKN1A;CSF3;SERPINE1;SIX1;TFCP2L1;RORB;LOXL2;HOXA10;TMEM100;ZFP36;CCND1;MYC;NAMPT;NFKBIZ;HOXA1;HOXA7;PITX2;CCNL1;JUNB;HOXA5;OSR2;ARID5A;EN1;FOS;KLF14;FOXP4;DKK1;SFRP4;LMX1A;IRF1;HOXB7;ATF3;SATB2;TWIST1;NFIL3;HOXC4;ALX1;WNT2;HOXC6;IRX1;GDF10;IRX2;EGR1;JUN;CDKN2B;JUND;MACC1;OSM;KLF4;TBX5;GRHL1;BMP7;TBX3;BMP6;FOSL2;BMP5;NR4A1;KLF6;IL6;RGCC;NR4A3;MAFF;ID4;FOSB;HOXD3;HOXD8
positive regulation of cell differentiation (GO:0045597)	18/194	5.393268099158368E-7	2.8341623861077224E-4	0	0	4.511881341892732	65.11973129896919	JUN;CSF3;JUND;LMO3;TWIST1;BMP7;BMP6;LOXL2;TMEM100;ZFP36;IL6;RGCC;NOCT;ALX1;CD36;APOB;JUNB;HOXA5
regulation of cell proliferation (GO:0042127)	39/740	1.2160896711905718E-6	5.112440977685164E-4	0	0	2.5078254578217036	34.15625680445055	CDKN1A;CSF3;CXCL8;IRS1;AREG;THBS1;PTHLH;SERTAD1;ERBB4;MYC;NAMPT;LMNA;JUNB;WNT2;OSR2;JUN;CDKN2B;JUND;CDKN2C;OSM;PPBP;KLF4;TBX5;ADRA2A;MYO16;TBX3;TNFRSF10D;BMP5;SFRP4;IL6;RGCC;NR4A3;DLC1;IRF1;NOX4;HSPA1B;GPLD1;CRLF1;HBEGF
positive regulation of cellular biosynthetic process (GO:0031328)	15/159	3.866285839081632E-6	0.0013544888056249316	0	0	4.57178544494721	56.97915061818031	EGR1;IRS1;SAMD4A;HBB;PTGS2;KLF4;AREG;THBS1;IL6;RGCC;MYC;PRR16;CD36;LDLR;GPLD1
skeletal system morphogenesis (GO:0048705)	7/31	5.0794737779003235E-6	0.0015252934115923542	0	0	12.651203703703704	154.22200505563757	OSR2;SFRP4;CYP26B1;HHIP;SIX1;HOXD3;TBX4
positive regulation of cellular process (GO:0048522)	29/519	9.88587773702925E-6	0.002310432086495794	0	0	2.6346414266641234	30.362670379270643	CSF3;IRS1;HBB;AREG;THBS1;PTHLH;SERTAD1;CCND1;ERBB4;MYC;NAMPT;LMNA;CD36;JUNB;WNT2;OSR2;JUN;JUND;OSM;HBA1;DKK1;ADRA2A;TBX3;IL6;FASN;DLC1;GPLD1;CRLF1;HBEGF
positive regulation of transcription, DNA-templated (GO:0045893)	49/1120	1.015570179434809E-5	0.002310432086495794	0	0	2.0713828014866076	23.815672507998038	CSRNP1;CSF3;SERPINE1;SIX1;RORB;HOXA10;MYC;NAMPT;HOXA1;HOXA7;PITX2;CCNL1;JUNB;HOXA5;OSR2;FOS;KLF14;LMX1A;IRF1;HOXB7;ATF3;NOTCH4;TWIST1;WNT11;ERBB4;HOXC4;ALX1;WNT2;EGR1;JUN;CDKN2B;JUND;MACC1;OSM;KLF4;TBX5;GRHL1;BMP7;BMP6;FOSL2;BMP5;NR4A1;KLF6;IL6;RGCC;NR4A3;MAFF;HOXD3;HOXD8
negative regulation of cell proliferation (GO:0008285)	23/363	1.1582284991379432E-5	0.002310432086495794	0	0	2.9931485497424775	34.020227534086125	CDKN1A;CDKN2B;CDKN2C;CXCL8;OSM;KLF4;TBX5;PTHLH;MYO16;BMP5;SFRP4;IL6;RGCC;TNN;ERBB4;MYC;DLC1;IRF1;LMNA;NOX4;TRIB1;GPLD1;HSPA1B
