Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
endocytic vesicle lumen (GO:0071682)	5/18	4.0825776001944095E-5	0.006287169504299391	0	0	16.618447923757657	167.9493070773466	DLC1;SAA1;HBB;HBA1;APOB
integral component of plasma membrane (GO:0005887)	53/1463	5.823215728069513E-4	0.04377849903651727	0	0	1.6871164244083983	12.566465990042147	CD83;IRS1;HHIP;SLC2A3;SLC4A1;SLC7A10;SLC6A2;FCAR;ICAM1;C1QTNF1;FFAR4;FFAR3;NRCAM;CD36;LHCGR;ABCC2;KCND2;MME;NPY5R;MMD;ABCC8;NPY1R;ADRA2A;KCNQ3;SCN4A;SHANK2;HBEGF;NOTCH4;ABCB4;PTGER3;THY1;SLC5A3;PROKR1;ERBB4;GPC3;DRD1;SLC38A3;LDLR;GPC6;KCNJ11;SLC31A2;CADM2;CD70;PCDH7;GPR3;GRIN2B;SELE;TNFRSF10D;XG;IL6;PLXNB3;CSPG5;CSPG4
main axon (GO:0044304)	5/33	8.528279033087778E-4	0.04377849903651727	0	0	7.709781921618204	54.484664826178104	ROBO2;CRHBP;KCNQ3;NRCAM;THY1
endoplasmic reticulum lumen (GO:0005788)	14/270	0.003858074951034908	0.14853588561484396	0	0	2.3809431433408577	13.232298511777357	COL16A1;PLAUR;PTGS2;THBS1;ADAMTSL1;BPIFB2;IL6;COL4A2;COL4A1;COL5A3;GPC3;APOB;SLC27A2;MATN3
cortical cytoskeleton (GO:0030863)	5/52	0.006555249100090205	0.1887219209142531	0	0	4.588589719450198	23.069085078578798	GYS2;DLC1;MYADM;SLC4A1;SELE
axolemma (GO:0030673)	2/6	0.007352802113542329	0.1887219209142531	0	0	21.47142857142857	105.4821245586447	ROBO2;THY1
lysosomal lumen (GO:0043202)	6/86	0.013943454495284143	0.30675599889625116	0	0	3.2366407982261642	13.829341087248435	GPC3;CSPG5;CSPG4;APOB;HSPG2;GPC6
axon initial segment (GO:0043194)	2/9	0.016863295705154383	0.3246184423242219	0	0	12.267503924646782	50.08350621675492	KCNQ3;NRCAM
Golgi lumen (GO:0005796)	6/98	0.024918858324846707	0.3916143204200332	0	0	2.8127349850573604	10.384984344692006	GPC3;CSPG5;DEFB1;CSPG4;HSPG2;GPC6
brush border membrane (GO:0031526)	3/28	0.02542950132597618	0.3916143204200332	0	0	5.158942731277533	18.942839669381666	CA4;CD36;SHANK2
tertiary granule lumen (GO:1904724)	4/55	0.03678393245128027	0.40597386755357434	0	0	3.3747998095485436	11.145931579387648	DLC1;HBB;ALDOC;PPBP
endocytic vesicle (GO:0030139)	6/108	0.03758726202080293	0.40597386755357434	0	0	2.5356723620712143	8.319769387746693	DLC1;SAA1;HBB;CD36;HBA1;APOB
caveola (GO:0005901)	4/56	0.038925197048243196	0.40597386755357434	0	0	3.3097300050942433	10.743759247650365	IRS1;DLC1;LRP4;SELE
clathrin-coated endocytic vesicle membrane (GO:0030669)	3/33	0.038973478542369315	0.40597386755357434	0	0	4.298017621145375	13.946525207290742	APOB;LDLR;HBEGF
potassium channel complex (GO:0034705)	2/14	0.0395429091772962	0.40597386755357434	0	0	7.1542124542124546	23.110745333055736	KCNJ11;ABCC8
platelet alpha granule (GO:0031091)	5/90	0.0553378739238777	0.47923861166919013	0	0	2.532274856845393	7.329157354191154	PCDH7;SERPINE1;CD36;PPBP;THBS1
platelet alpha granule membrane (GO:0031092)	2/17	0.0565138188326053	0.47923861166919013	0	0	5.722490842490842	16.442261775892014	PCDH7;CD36
specific granule membrane (GO:0035579)	5/91	0.05750906723898427	0.47923861166919013	0	0	2.502701173080881	7.147245675505964	PLAUR;SLC2A3;CD36;SLC27A2;FCAR
