Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	30/460	2.951551846682507E-7	7.460393389512678E-5	0	0	3.122869124775339	46.954724940543656	SIX1;RORB;HOXA10;NFIL3;MYC;HOXC4;ALX1;HOXA7;JUNB;HOXA5;EGR1;JUN;JUND;MACC1;EN1;FOS;TBX5;GRHL1;TBX3;FOSL2;NR4A1;KLF6;NR4A3;LMX1A;IRF1;FOSB;HOXD3;HOXB7;ATF3;HOXD8
core promoter proximal region sequence-specific DNA binding (GO:0000987)	22/278	4.841157715121993E-7	7.460393389512678E-5	0	0	3.810290948275862	55.40521877322571	JUN;JUND;EN1;SIX1;FOS;GRHL1;KLF4;TBX5;TBX3;FOSL2;HOXA10;NR4A1;KLF6;NR4A3;MYC;IRF1;FOSB;HOXA7;JUNB;HOXB7;HOXA5;ATF3
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)	22/284	6.953772897541136E-7	7.460393389512678E-5	0	0	3.7218741774151094	52.771751553555056	MACC1;SIX1;GRHL1;KLF14;KLF4;FOSL2;HOXA10;NR4A1;KLF6;NR4A3;MYC;IRF1;MAFF;HOXC4;HOXA1;ALX1;HOXD3;HOXA7;HOXB7;HOXA5;ATF3;HOXD8
RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978)	21/262	7.156252651810722E-7	7.460393389512678E-5	0	0	3.857607826715901	54.58557192028373	JUN;JUND;EN1;SIX1;FOS;GRHL1;TBX5;TBX3;FOSL2;HOXA10;NR4A1;KLF6;NR4A3;MYC;IRF1;FOSB;HOXA7;JUNB;HOXB7;HOXA5;ATF3
transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)	20/280	7.588442882133643E-6	6.328761363699458E-4	0	0	3.394296778736138	40.01497146629451	JUN;EN1;SIX1;FOS;GRHL1;KLF4;TBX3;FOSL2;HOXA10;NR4A1;KLF6;NR4A3;NFIL3;MYC;IRF1;FOSB;HOXA7;HOXB7;HOXA5;ATF3
growth factor activity (GO:0008083)	8/69	1.7245439318020728E-4	0.011985580326024406	0	0	5.6904596735915876	49.30998260759158	ENDOU;CSF3;IL6;OSM;CSPG5;AREG;DKK1;HBEGF
pancreatic polypeptide receptor activity (GO:0001602)	3/6	2.2518105651790193E-4	0.012450951259298904	0	0	43.03964757709251	361.47303307018296	PROKR1;NPY5R;NPY1R
cytokine activity (GO:0005125)	12/155	2.388671704421852E-4	0.012450951259298904	0	0	3.65836410780231	30.509304042458215	GDF10;CSF3;IL6;CXCL8;OSM;PPBP;WNT2;BMP7;BMP6;CX3CL1;CRLF1;BMP5
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641)	4/15	3.006261542703959E-4	0.013929011814528344	0	0	15.67890828817981	127.15035006266481	AOC2;MAOB;LOXL4;LOXL2
neuropeptide Y receptor activity (GO:0004983)	3/7	3.87380963730211E-4	0.016153786187549802	0	0	32.278083700440526	253.57991619597544	PROKR1;NPY5R;NPY1R
protein serine/threonine kinase inhibitor activity (GO:0030291)	5/30	5.417014670747026E-4	0.020535410160922814	0	0	8.636283185840709	64.95171978146763	CDKN1A;CDKN2B;CDKN2C;PPP1R1B;SFN
transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001077)	12/175	7.16984368683722E-4	0.024915206811759343	0	0	3.2061763286689184	23.21418029869603	HOXA10;NR4A1;KLF6;NR4A3;MYC;IRF1;SIX1;HOXA7;GRHL1;KLF4;HOXB7;HOXA5
cyclin-dependent protein serine/threonine kinase inhibitor activity (GO:0004861)	3/10	0.0012618444568444536	0.040476087577241325	0	0	18.441787287602267	123.10226393617758	CDKN1A;CDKN2B;CDKN2C
BMP receptor binding (GO:0070700)	3/12	0.0022359337040204117	0.06107662431207109	0	0	14.342143906020558	87.53148646095724	BMP7;BMP6;BMP5
transcriptional repressor activity, RNA polymerase II activating transcription factor binding (GO:0098811)	3/12	0.0022359337040204117	0.06107662431207109	0	0	14.342143906020558	87.53148646095724	JUN;FOS;KLF4
RNA polymerase II regulatory region DNA binding (GO:0001012)	12/201	0.0023434675995039267	0.06107662431207109	0	0	2.7614053861244874	16.7234122352468	EGR1;NR4A1;NR4A3;NFIL3;LMX1A;MACC1;ALX1;HOXD3;RORB;ATF3;HOXD8;FOSL2
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	4/27	0.00311211549524738	0.07633836244224455	0	0	7.494001343699011	43.258767244720595	CDKN1A;CDKN2B;CDKN2C;CCNL1
cytokine receptor binding (GO:0005126)	9/137	0.004285329137379081	0.09927679168261538	0	0	3.0471365792410716	16.614688683460866	GDF10;CSF3;IL6;OSM;TNFSF9;BMP7;BMP6;CRLF1;BMP5
transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	3/16	0.005318031603302612	0.11671679887248364	0	0	9.927143341240258	51.9849954637696	BMP7;BMP6;BMP5
integrin binding (GO:0005178)	7/94	0.005771700458213268	0.11693256214454832	0	0	3.478722860791826	17.93208071954288	COL16A1;EGFL6;FAP;THY1;THBS1;CX3CL1;ICAM1
low-density lipoprotein particle binding (GO:0030169)	3/17	0.0063492914381764135	0.11693256214454832	0	0	9.217589679043424	46.63558435718115	CD36;THBS1;LDLR
prostaglandin E receptor activity (GO:0004957)	2/6	0.007352802113542329	0.11693256214454832	0	0	21.47142857142857	105.4821245586447	PTGER4;PTGER3
primary amine oxidase activity (GO:0008131)	2/6	0.007352802113542329	0.11693256214454832	0	0	21.47142857142857	105.4821245586447	AOC2;MAOB
protein-lysine 6-oxidase activity (GO:0004720)	2/6	0.007352802113542329	0.11693256214454832	0	0	21.47142857142857	105.4821245586447	LOXL4;LOXL2
ankyrin binding (GO:0030506)	3/18	0.007491499854127654	0.11693256214454832	0	0	8.602643171806168	42.10121743048021	KCNJ11;SLC4A1;NRCAM
