Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Malaria Homo sapiens hsa05144	11/49	1.0477550766531303E-8	2.1583754579054483E-6	0	0	12.659605853198018	232.60798901265284	COMP;CSF3;IL6;CXCL8;HBB;HBA2;CD36;HBA1;THBS1;SELE;ICAM1
AGE-RAGE signaling pathway in diabetic complications Homo sapiens hsa04933	10/101	1.0568139127895115E-4	0.007208906371950701	0	0	4.782063574009883	43.7801828716032	EGR1;JUN;IL6;CXCL8;CCND1;COL4A2;COL4A1;SERPINE1;SELE;ICAM1
African trypanosomiasis Homo sapiens hsa05143	6/35	1.2738215411850135E-4	0.007208906371950701	0	0	8.952060555088309	80.28493388984442	IL6;HBB;HBA2;HBA1;SELE;ICAM1
Amphetamine addiction Homo sapiens hsa05031	8/67	1.399787645038971E-4	0.007208906371950701	0	0	5.883960590389189	52.21438295202044	ARC;JUN;MAOB;PPP1R1B;FOSB;FOS;DRD1;GRIN2B
Bladder cancer Homo sapiens hsa05219	6/41	3.143218938740129E-4	0.012950062027609332	0	0	7.415140956604371	59.80380110743664	CDKN1A;CXCL8;CCND1;MYC;THBS1;HBEGF
TGF-beta signaling pathway Homo sapiens hsa04350	8/84	6.678086084262211E-4	0.021751540245623827	0	0	4.563826046184504	33.36845493642807	CDKN2B;MYC;ID4;PITX2;THBS1;BMP7;BMP6;BMP5
Cocaine addiction Homo sapiens hsa05030	6/49	8.382191257235157E-4	0.021751540245623827	0	0	6.0331047285102875	42.73990757485025	JUN;MAOB;PPP1R1B;FOSB;DRD1;GRIN2B
HTLV-I infection Homo sapiens hsa05166	15/258	9.25148042337678E-4	0.021751540245623827	0	0	2.6953801463605385	18.82873107626749	EGR1;JUN;CDKN1A;CDKN2B;CDKN2C;FOS;ICAM1;ZFP36;IL6;WNT11;CCND1;MYC;MSX1;WNT2;ATF3
TNF signaling pathway Homo sapiens hsa04668	9/110	9.50310010731138E-4	0.021751540245623827	0	0	3.8670880480905234	26.90999183444467	SOCS3;JUN;IL6;FOS;PTGS2;JUNB;SELE;CX3CL1;ICAM1
Proteoglycans in cancer Homo sapiens hsa05205	12/203	0.0025427079789994184	0.046492782882756684	0	0	2.7322077769280546	16.323645396310273	CDKN1A;WNT11;CCND1;ERBB4;MYC;GPC3;PLAUR;TWIST1;HSPG2;WNT2;THBS1;HBEGF
ECM-receptor interaction Homo sapiens hsa04512	7/82	0.002704441267161927	0.046492782882756684	0	0	4.037807407407407	23.87498967921883	COMP;COL4A2;TNN;COL4A1;CD36;HSPG2;THBS1
Hippo signaling pathway Homo sapiens hsa04390	10/153	0.002768419779404101	0.046492782882756684	0	0	3.0349963235869275	17.87454589373321	WNT11;CCND1;MYC;SERPINE1;WNT2;BMP7;AREG;FRMD1;BMP6;BMP5
Transcriptional misregulation in cancer Homo sapiens hsa05202	11/180	0.002934010570271053	0.046492782882756684	0	0	2.827420595961472	16.487778042325523	HOXA10;HOXA9;IL6;CDKN1A;NR4A3;CXCL8;CDKN2C;MYC;NFKBIZ;SIX1;MLF1
ErbB signaling pathway Homo sapiens hsa04012	7/87	0.0037726779816339164	0.05551226172975619	0	0	3.784472222222222	21.117242183892607	CDKN1A;JUN;ERBB4;MYC;NRG2;AREG;HBEGF
p53 signaling pathway Homo sapiens hsa04115	6/69	0.00490443184158468	0.06735419729109628	0	0	4.113609967268504	21.874598283264493	CDKN1A;CCND1;PERP;SERPINE1;SFN;THBS1
Wnt signaling pathway Homo sapiens hsa04310	9/142	0.005411084089965518	0.06966770765830604	0	0	2.931827336197637	15.30210347870884	SFRP4;JUN;WNT11;CCND1;MYC;DKK1;WNT2;CXXC4;DKK2
Phenylalanine metabolism Homo sapiens hsa00360	3/17	0.0063492914381764135	0.07693847272143182	0	0	9.217589679043424	46.63558435718115	AOC2;MAOB;GLYAT
Cytokine-cytokine receptor interaction Homo sapiens hsa04060	13/265	0.00823443330542951	0.09423851449547105	0	0	2.2413753038753037	10.757325517808615	CSF3;CXCL8;TNFRSF12A;CD70;OSM;IL20RB;PPBP;CXCL14;BMP7;CX3CL1;TNFRSF10D;IL6;TNFSF9
Regulation of lipolysis in adipocytes Homo sapiens hsa04923	5/56	0.008947529180585908	0.09701005322108933	0	0	4.227832726010758	19.94005663944872	IRS1;PTGER3;NPY1R;PRKG2;PTGS2
Jak-STAT signaling pathway Homo sapiens hsa04630	9/158	0.010592983548664517	0.10910773055124454	0	0	2.6148430009587726	11.891164396957372	SOCS3;CSF3;IL6;CDKN1A;CCND1;MYC;OSM;IL20RB;MCL1
PI3K-Akt signaling pathway Homo sapiens hsa04151	15/341	0.012269079522432795	0.120282312875724	0	0	2.000492740748966	8.803514474170449	CDKN1A;CSF3;IRS1;OSM;THBS1;GYS2;COMP;NR4A1;IL6;CCND1;COL4A2;TNN;COL4A1;MYC;MCL1
Glycine, serine and threonine metabolism Homo sapiens hsa00260	4/40	0.012845683899349165	0.120282312875724	0	0	4.784645572725043	20.835922903063636	ALAS2;SDS;AOC2;MAOB
Small cell lung cancer Homo sapiens hsa05222	6/86	0.013943454495284143	0.12488485330558842	0	0	3.2366407982261642	13.829341087248435	CDKN2B;CCND1;COL4A2;COL4A1;MYC;PTGS2
ABC transporters Homo sapiens hsa02010	4/44	0.01777362156758212	0.15255691845507988	0	0	4.305298013245033	17.350522582064944	ABCD2;ABCC2;ABCC8;ABCB4
Hepatitis B Homo sapiens hsa05161	8/146	0.019153717077540787	0.1578266287189361	0	0	2.5054065394919465	9.909530458480281	JUN;IL6;CDKN1A;CXCL8;CCND1;MYC;FOS;HSPG2
Pathways in cancer Homo sapiens hsa05200	16/397	0.02093115918870565	0.16583918434128322	0	0	1.824724290416079	7.055326321350517	PTGER4;JUN;CDKN1A;CDKN2B;CXCL8;HHIP;PTGER3;FOS;PTGS2;IL6;WNT11;CCND1;COL4A2;COL4A1;MYC;WNT2
Type II diabetes mellitus Homo sapiens hsa04930	4/48	0.023736419526702402	0.17970784435720108	0	0	3.9131045554886614	14.6379252104216	SOCS3;KCNJ11;IRS1;ABCC8
Prolactin signaling pathway Homo sapiens hsa04917	5/72	0.024426308941755487	0.17970784435720108	0	0	3.215559371285167	11.936460231629068	SOCS3;LHCGR;CCND1;IRF1;FOS
Ovarian steroidogenesis Homo sapiens hsa04913	4/50	0.027120315136762323	0.1926477557990703	0	0	3.742585660811978	13.501273712117118	LHCGR;PTGS2;LDLR;BMP6
Pertussis Homo sapiens hsa05133	5/75	0.02852564660214896	0.19587610666808952	0	0	3.077275600505689	10.94572072653224	JUN;IL6;CXCL8;IRF1;FOS
Osteoclast differentiation Homo sapiens hsa04380	7/132	0.032085827828722095	0.2132155010553791	0	0	2.416462222222222	8.31103722611921	SOCS3;JUN;JUND;FOSB;FOS;JUNB;FOSL2
Insulin resistance Homo sapiens hsa04931	6/109	0.03904362610486574	0.2482424803708088	0	0	2.5109250209889566	8.143119769350454	GYS2;SOCS3;IL6;IRS1;CD36;SLC27A2
cAMP signaling pathway Homo sapiens hsa04024	9/199	0.03976699928270238	0.2482424803708088	0	0	2.0462523496240603	6.598586527343899	HCAR2;JUN;HHIP;PPP1R1B;PTGER3;NPY1R;FOS;DRD1;GRIN2B
Colorectal cancer Homo sapiens hsa05210	4/62	0.05323720261927308	0.32255481586971335	0	0	2.9664306919387986	8.700534781335572	JUN;CCND1;MYC;FOS
Rheumatoid arthritis Homo sapiens hsa05323	5/90	0.0553378739238777	0.3257029150948231	0	0	2.532274856845393	7.329157354191154	JUN;IL6;CXCL8;FOS;ICAM1
AMPK signaling pathway Homo sapiens hsa04152	6/124	0.06521914006472528	0.3617986624782549	0	0	2.1900484798376487	5.97883737360977	GYS2;CCND1;IRS1;SCD;FASN;CD36
Cell cycle Homo sapiens hsa04110	6/124	0.06521914006472528	0.3617986624782549	0	0	2.1900484798376487	5.97883737360977	CDKN1A;CDKN2B;CDKN2C;CCND1;MYC;SFN
Fat digestion and absorption Homo sapiens hsa04975	3/41	0.0667395590979305	0.3617986624782549	0	0	3.3917806631115233	9.181405805701065	DGAT2;CD36;APOB
Axon guidance Homo sapiens hsa04360	6/127	0.07144271727785312	0.37627309604640424	0	0	2.135419911674699	5.635072708987038	ROBO2;SEMA3C;PLXNB3;SEMA3G;SEMA3E;RND1
Drug metabolism - cytochrome P450 Homo sapiens hsa00982	4/69	0.07306273709638916	0.37627309604640424	0	0	2.646017999660384	6.923138853585146	CYP2A6;MAOB;FMO3;CYP3A5
MicroRNAs in cancer Homo sapiens hsa05206	11/297	0.08012206821404701	0.4025645378559435	0	0	1.6606588478785789	4.191841630995208	NOTCH3;CDKN1A;CCND1;IRS1;TNN;MIR23A;MYC;NOTCH4;PTGS2;THBS1;MCL1
Hepatitis C Homo sapiens hsa05160	6/133	0.08487703680522611	0.41630165671134717	0	0	2.033905407056934	5.016732830641305	SOCS3;CDKN1A;CXCL8;IRF1;CLDN2;LDLR
Chagas disease (American trypanosomiasis) Homo sapiens hsa05142	5/104	0.09007983696965458	0.4315452654825312	0	0	2.1726110664163762	5.229602856737112	JUN;IL6;CXCL8;SERPINE1;FOS
Proximal tubule bicarbonate reclamation Homo sapiens hsa04964	2/23	0.0962209815031001	0.4497260829338208	0	0	4.086237571951858	9.566322824578899	CA4;SLC38A3
Apoptosis Homo sapiens hsa04210	6/140	0.10218676028400024	0.4497260829338208	0	0	1.9269616441076216	4.395309245020616	SPTA1;JUN;LMNA;FOS;MCL1;TNFRSF10D
Glycosaminoglycan biosynthesis - heparan sulfate / heparin Homo sapiens hsa00534	2/24	0.10344128620592098	0.4497260829338208	0	0	3.9002997002997004	8.848809275468746	XYLT1;HS3ST2
Hedgehog signaling pathway Homo sapiens hsa04340	3/50	0.10597294803916203	0.4497260829338208	0	0	2.7410254006935983	6.152427288550818	WNT11;HHIP;WNT2
Influenza A Homo sapiens hsa05164	7/175	0.10720382304169832	0.4497260829338208	0	0	1.7939814814814814	4.0060025704077935	SOCS3;JUN;IL6;CXCL8;HSPA1B;ICAM1;TNFRSF10D
Signaling pathways regulating pluripotency of stem cells Homo sapiens hsa04550	6/142	0.10744844043402697	0.4497260829338208	0	0	1.8984283292030781	4.234907928178557	WNT11;MYC;ID4;KLF4;WNT2;TBX3
Caffeine metabolism Homo sapiens hsa00232	1/5	0.10915681624607301	0.4497260829338208	0	0	10.712171052631579	23.727134833118896	CYP2A6
Dorso-ventral axis formation Homo sapiens hsa04320	2/27	0.12591554360320784	0.5086000388678591	0	0	3.431736263736264	7.111051316023651	NOTCH3;NOTCH4
Legionellosis Homo sapiens hsa05134	3/55	0.13085355167829008	0.5086005970892029	0	0	2.4768298881735005	5.037070756024217	IL6;CXCL8;HSPA1B
Basal cell carcinoma Homo sapiens hsa05217	3/55	0.13085355167829008	0.5086005970892029	0	0	2.4768298881735005	5.037070756024217	WNT11;HHIP;WNT2
Salmonella infection Homo sapiens hsa05132	4/86	0.13408999323521437	0.5115284927121141	0	0	2.0956226780810856	4.210617529297476	JUN;IL6;CXCL8;FOS
Thyroid cancer Homo sapiens hsa05216	2/29	0.14147861079405477	0.5143863695347095	0	0	3.1772079772079773	6.213369314881715	CCND1;MYC
Nicotinate and nicotinamide metabolism Homo sapiens hsa00760	2/29	0.14147861079405477	0.5143863695347095	0	0	3.1772079772079773	6.213369314881715	NAMPT;NMNAT2
Hematopoietic cell lineage Homo sapiens hsa04640	4/88	0.14233020904601185	0.5143863695347095	0	0	2.045516661410701	3.987950543980642	CSF3;IL6;MME;CD36
Protein digestion and absorption Homo sapiens hsa04974	4/90	0.15076507863323285	0.5354759689387236	0	0	1.9977411571435906	3.7797910446260734	MME;COL4A2;COL4A1;COL5A3
Circadian entrainment Homo sapiens hsa04713	4/95	0.17264456605930212	0.5953907308186355	0	0	1.8874899934502583	3.3154145449938177	RASD1;PRKG2;FOS;GRIN2B
Dopaminergic synapse Homo sapiens hsa04728	5/129	0.17341477596659288	0.5953907308186355	0	0	1.7323544105052813	3.035204468458765	MAOB;PPP1R1B;DRD1;FOS;GRIN2B
Focal adhesion Homo sapiens hsa04510	7/202	0.1809541319221906	0.5957974347086337	0	0	1.5434301994301993	2.638511975764546	COMP;JUN;CCND1;COL4A2;TNN;COL4A1;THBS1
Retinol metabolism Homo sapiens hsa00830	3/65	0.1857299874605603	0.5957974347086337	0	0	2.0762754014494815	3.495329370150326	CYP26B1;CYP2A6;CYP3A5
FoxO signaling pathway Homo sapiens hsa04068	5/133	0.18886855980476855	0.5957974347086337	0	0	1.6778726493362832	2.7965169833683285	IL6;CDKN1A;CDKN2B;CCND1;IRS1
Prion diseases Homo sapiens hsa05020	2/35	0.19018957135156536	0.5957974347086337	0	0	2.5987345987345987	4.313208067278874	EGR1;IL6
Tyrosine metabolism Homo sapiens hsa00350	2/35	0.19018957135156536	0.5957974347086337	0	0	2.5987345987345987	4.313208067278874	AOC2;MAOB
Estrogen signaling pathway Homo sapiens hsa04915	4/99	0.1908865567513098	0.5957974347086337	0	0	1.807644940164982	2.9935973496883843	JUN;FOS;HSPA1B;HBEGF
Amoebiasis Homo sapiens hsa05146	4/100	0.1955397848633733	0.6012118758485806	0	0	1.7887233259749815	2.919181115599255	IL6;CXCL8;COL4A2;COL4A1
Epithelial cell signaling in Helicobacter pylori infection Homo sapiens hsa05120	3/68	0.20322946995648203	0.6156657472211073	0	0	1.9801423246357166	3.155197480926906	JUN;CXCL8;HBEGF
