,Sample_0,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49
Gene_0,11,12,7,18,9,7,12,5,9,7,14,9,9,11,13,18,8,5,6,8,7,6,12,2,14,7,14,8,11,7,11,7,7,12,9,10,13,12,11,8,7,9,10,6,11,13,4,8,5,9
Gene_1,14,6,10,15,6,10,11,7,16,18,8,9,13,12,9,7,12,7,12,13,13,6,11,12,4,13,8,14,15,8,14,5,4,11,14,13,17,9,8,12,8,10,3,9,13,10,9,6,11,10
Gene_2,9,8,7,14,15,12,13,10,10,12,12,12,17,11,4,13,9,14,19,10,15,14,12,12,13,9,11,11,5,12,7,10,6,11,12,9,7,8,10,9,7,20,15,10,14,12,15,11,6,10
Gene_3,11,13,11,10,14,7,3,16,13,12,8,16,11,12,12,4,13,4,5,9,14,11,6,12,7,13,4,9,10,10,7,10,7,6,17,7,14,5,9,12,16,10,8,6,11,13,12,11,9,16
Gene_4,10,9,10,8,10,13,9,7,8,8,9,7,10,10,4,11,11,8,11,17,10,9,6,8,6,9,9,10,13,12,10,13,14,5,9,7,10,15,12,4,9,17,10,11,7,7,11,11,9,10
Gene_5,6,10,7,8,8,15,10,5,11,5,11,21,5,14,12,14,13,7,6,8,11,3,10,12,10,7,14,16,9,15,7,13,17,9,14,6,8,9,19,15,7,6,8,11,14,8,5,7,10,11
Gene_6,3,11,9,5,13,8,10,12,6,6,9,8,8,13,11,7,15,13,11,12,14,16,11,12,10,11,7,9,13,9,7,10,18,7,7,14,9,9,19,13,10,11,6,8,15,9,9,8,12,9
Gene_7,17,11,9,15,12,8,9,11,6,9,9,8,12,6,13,7,5,9,9,7,12,10,5,10,10,12,13,13,6,15,13,5,18,7,16,9,12,10,13,11,14,13,8,8,12,9,14,9,12,11
Gene_8,8,11,7,16,11,13,9,6,8,10,13,11,7,7,10,10,13,5,12,13,7,7,3,10,11,9,9,18,8,9,7,12,5,12,3,12,11,4,19,5,9,12,7,9,8,7,8,11,10,9
Gene_9,8,10,12,23,9,7,6,8,18,11,13,7,15,10,8,7,9,7,2,9,9,10,9,10,11,12,14,9,8,12,11,13,7,13,13,10,12,12,10,10,9,3,4,12,14,6,11,10,14,15
