ensembl_gene_id	wikigene_description	hgnc_symbol
ENSG00000000003	tetraspanin 6	TSPAN6
ENSG00000000005	tenomodulin	TNMD
ENSG00000000419	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	DPM1
ENSG00000000457	SCY1 like pseudokinase 3	SCYL3
ENSG00000000460	chromosome 1 open reading frame 112	C1orf112
ENSG00000000938	FGR proto-oncogene, Src family tyrosine kinase	FGR
ENSG00000000971	complement factor H	CFH
ENSG00000001036	alpha-L-fucosidase 2	FUCA2
ENSG00000001084	glutamate-cysteine ligase catalytic subunit	GCLC
ENSG00000001167	nuclear transcription factor Y subunit alpha	NFYA
ENSG00000001460	sperm tail PG-rich repeat containing 1	STPG1
ENSG00000001461	NIPA like domain containing 3	NIPAL3
ENSG00000001497	LAS1 like, ribosome biogenesis factor	LAS1L
ENSG00000001561	ectonucleotide pyrophosphatase/phosphodiesterase 4	ENPP4
ENSG00000001617	semaphorin 3F	SEMA3F
ENSG00000001626	CF transmembrane conductance regulator	CFTR
ENSG00000001629	ankyrin repeat and IBR domain containing 1	ANKIB1
ENSG00000001630	cytochrome P450 family 51 subfamily A member 1	CYP51A1
ENSG00000001631	KRIT1 ankyrin repeat containing	KRIT1
ENSG00000002016	RAD52 homolog, DNA repair protein	RAD52
ENSG00000002079		MYH16
ENSG00000002330	BCL2 associated agonist of cell death	BAD
ENSG00000002549	leucine aminopeptidase 3	LAP3
ENSG00000002586	CD99 molecule (Xg blood group)	CD99
ENSG00000002587	heparan sulfate-glucosamine 3-sulfotransferase 1	HS3ST1
ENSG00000002726	amine oxidase copper containing 1	AOC1
ENSG00000002745	Wnt family member 16	WNT16
ENSG00000002746	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	HECW1
ENSG00000002822	mitotic arrest deficient 1 like 1	MAD1L1
ENSG00000002834	LIM and SH3 protein 1	LASP1
ENSG00000002919	sorting nexin 11	SNX11
ENSG00000002933	transmembrane protein 176A	TMEM176A
ENSG00000003056	mannose-6-phosphate receptor, cation dependent	M6PR
ENSG00000003096	kelch like family member 13	KLHL13
ENSG00000003137	cytochrome P450 family 26 subfamily B member 1	CYP26B1
ENSG00000003147	islet cell autoantigen 1	ICA1
ENSG00000003249	dysbindin domain containing 1	DBNDD1
